job_title,skills
Project Manager,"Project management, Leadership, Risk management, Communication, Scheduling, Budget management"
Administrator,"Administrative support, Communication, Organizational skills, Time management, Customer service,"
Test Engineer,"Software testing, Automation, Test planning, Test scripting, Bug tracking, Quality assurance"
Service Level Manager,"SLA management, IT service management, Communication, Incident management, Problem-solving,"
System Engineer,"Systems administration, Networking, Scripting, Troubleshooting, Systems design,"
Lead Administrator,"Leadership, Systems administration, Communication, Organizational skills, Time management,"
Business Analyst,"Business analysis, Requirement gathering, Communication, Documentation, Problem-solving, Analytical skills"
Technical Lead,"Technical expertise, Leadership, Communication, Project management, Problem-solving,"
Developer,"Programming, Software development, Problem-solving, Debugging, Code reviews,"
Project Lead,"Project management, Leadership, Communication, Scheduling, Risk management,"
Consultant-Technology & Implementation,"Consulting, Technology implementation, Communication, Problem-solving, Client management,"
DevOps Engineer,"DevOps, CI/CD, Scripting, Automation, Cloud services, Containerization"
Delivery Manager,"Project management, Communication, Client management, Leadership, Delivery oversight,"
Delivery Assurance Manager,"Quality assurance, Project management, Communication, Risk management, Process improvement,"
Product Marketing Manager,"Product marketing, Market research, Communication, Strategy, Product management,"
Pre-sales Consultant,"Pre-sales, Communication, Technical expertise, Client engagement, Proposal writing,"
Cyber Security Analyst,"Cybersecurity, Risk assessment, Vulnerability management, Incident response, Security protocols,"
Program Manager (PM),"Program management, Leadership, Communication, Risk management, Scheduling,"
Manager Ð Learning and Development (I&D),"Learning and development, Instructional design, Communication, Training, Leadership,"
Senior Consultant-Technology & Implementation,"Consulting, Technology implementation, Communication, Client management, Problem-solving,"
Configurator,"Configuration management, Technical expertise, Problem-solving, Communication, Documentation,"
Service Delivery Lead,"Service delivery, Client management, Communication, Leadership, SLA management,"
Artificial Intelligence Lead,"AI, Machine learning, Leadership, Technical expertise, Communication, Research"
Application Architect,"Application architecture, Technical expertise, Design, Communication, Problem-solving,"
AWS Senior Cloud Developer,"AWS, Cloud development, Scripting, Problem-solving, Cloud services,"
Middleware Administrator,"Middleware, Systems administration, Scripting, Troubleshooting, Communication,"
Cyber Security Architect,"Cybersecurity, Architecture, Risk assessment, Communication, Security protocols,"
Presales Manager_F&A,"Presales, Financial analysis, Communication, Proposal writing, Client engagement,"
Infrastructure Architect,"Infrastructure design, Networking, Cloud services, Technical expertise, Communication,"
Citrix Admin-Administrator,"Citrix administration, Systems administration, Scripting, Troubleshooting, Communication,"
AI/ML - Data Scientist,"AI, Machine learning, Data analysis, Programming, Research, Statistical analysis"
Big Data Developer,"Big data, Data analysis, Programming, Hadoop, Spark, Data processing"
DevOps Lead,"DevOps, CI/CD, Leadership, Communication, Automation, Cloud services"
Managing Consultant-Technology & Implementation,"Consulting, Technology implementation, Leadership, Communication, Problem-solving,"
Domain Architect,"Domain expertise, Architecture, Design, Communication, Technical expertise,"
Data Analytics Architect,"Data analytics, Architecture, Design, Data processing, Communication,"
Scrum Master,"Scrum, Agile methodologies, Communication, Leadership, Project management,"
Lead Developer,"Technical expertise, Leadership, Programming, Code reviews, Communication,"
Tools Consultant,"Consulting, Tools expertise, Communication, Problem-solving, Client management,"
Java Developer,"Java programming, Software development, Problem-solving, Debugging, Code reviews,"
Opening for Scrum Master,"Scrum, Agile methodologies, Communication, Leadership, Project management,"
PLSQL Development - LTIMindtree,"PLSQL, Database development, SQL, Problem-solving, Debugging,"
